"player_id","player_name"
1627773,"AJ Hammons"
201166,"Aaron Brooks"
203932,"Aaron Gordon"
1626151,"Aaron Harrison"
203940,"Adreian Payne"
201143,"Al Horford"
2744,"Al Jefferson"
202329,"Al-Farouq Aminu"
101187,"Alan Anderson"
1626210,"Alan Williams"
202692,"Alec Burks"
203518,"Alex Abrines"
203458,"Alex Len"
1627816,"Alex Poythress"
201582,"Alexis Ajinca"
203459,"Allen Crabbe"
202087,"Alonzo Gee"
101161,"Amir Johnson"
2760,"Anderson Varejao"
203083,"Andre Drummond"
2738,"Andre Iguodala"
203460,"Andre Roberson"
101106,"Andrew Bogut"
1626150,"Andrew Harrison"
203094,"Andrew Nicholson"
203952,"Andrew Wiggins"
203461,"Anthony Bennett"
1626148,"Anthony Brown"
203076,"Anthony Davis"
201627,"Anthony Morrow"
201229,"Anthony Tolliver"
203462,"Archie Goodwin"
202620,"Arinze Onuaku"
203382,"Aron Baynes"
201167,"Arron Afflalo"
203085,"Austin Rivers"
202340,"Avery Bradley"
1626253,"Axel Toupane"
1627791,"Ben Bentil"
203463,"Ben McLemore"
2757,"Beno Udrih"
202687,"Bismack Biyombo"
201933,"Blake Griffin"
1626246,"Boban Marjanovic"
201628,"Bobby Brown"
1626171,"Bobby Portis"
202711,"Bojan Bogdanovic"
2564,"Boris Diaw"
203078,"Bradley Beal"
201148,"Brandan Wright"
101138,"Brandon Bass"
1627742,"Brandon Ingram"
201943,"Brandon Jennings"
202688,"Brandon Knight"
201575,"Brandon Rush"
203148,"Brian Roberts"
1627362,"Briante Weber"
1627744,"Brice Johnson"
201572,"Brook Lopez"
203998,"Bruno Caboclo"
1627854,"Bryn Forbes"
1627741,"Buddy Hield"
201228,"C.J. Watson"
203468,"CJ McCollum"
101139,"CJ Miles"
203912,"CJ Wilcox"
1626166,"Cameron Payne"
1627747,"Caris LeVert"
2546,"Carmelo Anthony"
202718,"Chandler Parsons"
101112,"Channing Frye"
1626184,"Chasson Randle"
1627767,"Cheick Diallo"
1627778,"Chinanu Onuaku"
2365,"Chris Andersen"
1626191,"Chris McCullough"
101108,"Chris Paul"
1626174,"Christian Wood"
203991,"Clint Capela"
203469,"Cody Zeller"
202332,"Cole Aldrich"
201147,"Corey Brewer"
202709,"Cory Joseph"
201584,"Courtney Lee"
1626245,"Cristiano Felicio"
1626156,"D'Angelo Russell"
201571,"D.J. Augustin"
2563,"Dahntay Jones"
1627745,"Damian Jones"
203081,"Damian Lillard"
204014,"Damjan Rudez"
1627849,"Daniel Ochefu"
201568,"Danilo Gallinari"
201980,"Danny Green"
201967,"Dante Cunningham"
203957,"Dante Exum"
1627863,"Danuel House"
203967,"Dario Saric"
201589,"Darrell Arthur"
201954,"Darren Collison"
1626199,"Darrun Hilliard"
101135,"David Lee"
1628021,"David Nwaba"
2561,"David West"
