player_id,player_name,season_id
920,A.C. Green,1996-97
243,Aaron McKie,1996-97
1425,Aaron Williams,1996-97
768,Acie Earl,1996-97
228,Adam Keefe,1996-97
154,Adrian Caldwell,1996-97
673,Alan Henderson,1996-97
1059,Aleksandar Djordjevic,1996-97
275,Allan Houston,1996-97
947,Allen Iverson,1996-97
297,Alonzo Mourning,1996-97
175,Alton Lister,1996-97
1043,Amal McCaskill,1996-97
692,Andrew DeClercq,1996-97
457,Andrew Lang,1996-97
358,Anfernee Hardaway,1996-97
924,Anthony Goldwire,1996-97
193,Anthony Mason,1996-97
292,Anthony Miller,1996-97
324,Anthony Peeler,1996-97
156,Antoine Carr,1996-97
952,Antoine Walker,1996-97
213,Antonio Davis,1996-97
176,Antonio Harvey,1996-97
226,Antonio Lang,1996-97
686,Antonio McDyess,1996-97
288,Armen Gilliam,1996-97
717,Arvydas Sabonis,1996-97
732,Ashraf Amaya,1996-97
422,Avery Johnson,1996-97
769,B.J. Armstrong,1996-97
989,Ben Davis,1996-97
1112,Ben Wallace,1996-97
104,Benoit Benjamin,1996-97
82,Bill Wennington,1996-97
182,Billy Owens,1996-97
902,Bimbo Coles,1996-97
183,Bison Dele,1996-97
898,Blue Edwards,1996-97
448,Bo Outlaw,1996-97
682,Bob Sura,1996-97
310,Bobby Hurley,1996-97
184,Bobby Phills,1996-97
38,Brad Lohaus,1996-97
699,Brent Barry,1996-97
85,Brent Price,1996-97
1064,Brent Scott,1996-97
1136,Brett Szabo,1996-97
967,Brian Evans,1996-97
258,Brian Grant,1996-97
216,Brian Shaw,1996-97
240,Brooks Thompson,1996-97
1477,Bruce Bowen,1996-97
735,Bryant Reeves,1996-97
179,Bryant Stith,1996-97
935,Bryon Russell,1996-97
433,Buck Williams,1996-97
2,Byron Scott,1996-97
384,Calbert Cheaney,1996-97
61,Carl Herrera,1996-97
1063,Carl Thomas,1996-97
435,Carlos Rogers,1996-97
76,Cedric Ceballos,1996-97
787,Charles Barkley,1996-97
279,Charles Jones,1996-97
891,Charles Oakley,1996-97
293,Charles Smith,1996-97
369,Charlie Ward,1996-97
685,Cherokee Parks,1996-97
713,Chris Carr,1996-97
164,Chris Childs,1996-97
201,Chris Dudley,1996-97
423,Chris Gatling,1996-97
1137,Chris Jent,1996-97
168,Chris Mills,1996-97
356,Chris Morris,1996-97
904,Chris Mullin,1996-97
997,Chris Robinson,1996-97
185,Chris Webber,1996-97
43,Chris Whitney,1996-97
363,Christian Laettner,1996-97
359,Chucky Brown,1996-97
221,Clar. Weatherspoon,1996-97
361,Clifford Robinson,1996-97
32,Clifford Rozier,1996-97
17,Clyde Drexler,1996-97
916,Corie Blount,1996-97
722,Corliss Williamson,1996-97
724,Cory Alexander,1996-97
378,Craig Ehlo,1996-97
733,Cuonzo Martin,1996-97
905,Dale Davis,1996-97
107,Dale Ellis,1996-97
757,Damon Stoudamire,1996-97
105,Dan Majerle,1996-97
7,Dan Schayes,1996-97
344,Dana Barros,1996-97
198,Danny Ferry,1996-97
330,Danny Manning,1996-97
353,Darrell Armstrong,1996-97
239,Darrick Martin,1996-97
241,Darrin Hancock,1996-97
1032,Darvin Ham,1996-97
764,David Robinson,1996-97
710,David Vaughn,1996-97
133,David Wesley,1996-97
766,David Wingate,1996-97
116,David Wood,1996-97
1051,Dean Garrett,1996-97
244,Dee Brown,1996-97
209,Dell Curry,1996-97
725,Dell Demps,1996-97
23,Dennis Rodman,1996-97
192,Dennis Scott,1996-97
965,Derek Fisher,1996-97
157,Derek Harper,1996-97
400,Derek Strong,1996-97
308,Derrick Alston,1996-97
934,Derrick Coleman,1996-97
365,Derrick McKey,1996-97
96,Detlef Schrempf,1996-97
1070,Devin Gray,1996-97
1121,Dexter Boney,1996-97
54,Dickey Simpkins,1996-97
87,Dikembe Mutombo,1996-97
129,Dino Radja,1996-97
1122,Dominique Wilkins,1996-97
931,Don MacLean,1996-97
690,Don Reid,1996-97
140,Donald Royal,1996-97
1126,Donald Whiteside,1996-97
671,Donnie Boyce,1996-97
681,Donny Marshall,1996-97
112,Dontonio Wingfield,1996-97
923,Donyell Marshall,1996-97
57,Doug Christie,1996-97
77,Doug Overton,1996-97
28,Doug West,1996-97
190,Duane Causwell,1996-97
273,Duane Ferrell,1996-97
368,Dwayne Schintzius,1996-97
940,Earl Cureton,1996-97
709,Ed O'Bannon,1996-97
291,Ed Pinckney,1996-97
698,Eddie Johnson,1996-97
224,Eddie Jones,1996-97
922,Elden Campbell,1996-97
695,Eldridge Recasner,1996-97
386,Elliot Perry,1996-97
1120,Elmer Bennett,1996-97
771,Elmore Spencer,1996-97
1023,Emanual Davis,1996-97
941,Ennis Whatley,1996-97
287,Eric Leckner,1996-97
211,Eric Mobley,1996-97
376,Eric Montross,1996-97
785,Eric Murdock,1996-97
15,Eric Piatkowski,1996-97
727,Eric Snow,1996-97
677,Eric Williams,1996-97
956,Erick Dampier,1996-97
1065,Erick Strickland,1996-97
911,Ervin Johnson,1996-97
1026,Evric Gray,1996-97
280,Felton Spencer,1996-97
783,Frank Brickowski,1996-97
701,Frankie King,1996-97
697,Fred Hoiberg,1996-97
122,Fred Roberts,1996-97
202,Gary Grant,1996-97
56,Gary Payton,1996-97
718,Gary Trent,1996-97
1093,Gaylon Nickerson,1996-97
248,George Lynch,1996-97
45,George McCloud,1996-97
678,George Zidek,1996-97
