player_id,season_id,gp,age,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,ast,tov,stl,blk,pts
471,1996-97,41.0,,13.3,1.1,3.3,0.331,0.2,0.7,0.233,1.0,1.2,0.875,0.7,1.8,1.4,0.8,0.2,0.3,3.4
920,1996-97,83.0,33.0,30.8,2.8,5.8,0.483,0.0,0.2,0.05,1.5,2.4,0.65,2.7,5.2,0.8,0.9,0.8,0.2,7.2
243,1996-97,83.0,24.0,20.4,1.8,4.4,0.41100000000000003,0.5,1.2,0.39799999999999996,1.1,1.3,0.836,0.5,2.2,1.9,1.1,0.9,0.3,5.2
1425,1996-97,33.0,25.0,17.8,2.6,4.5,0.574,0.0,0.0,0.0,1.0,1.5,0.6729999999999999,1.9,2.5,0.5,1.0,0.5,0.9,6.2
768,1996-97,47.0,27.0,11.1,1.4,3.8,0.374,0.0,0.1,0.0,1.1,1.8,0.643,0.7,1.3,0.4,0.7,0.3,0.6,4.0
228,1996-97,62.0,27.0,15.4,1.3,2.6,0.513,0.0,0.0,0.0,1.1,1.7,0.6890000000000001,1.2,2.3,0.5,0.7,0.5,0.2,3.8
154,1996-97,45.0,30.0,13.1,0.9,2.0,0.435,0.0,0.0,0.0,0.5,1.1,0.42,1.3,2.4,0.3,0.6,0.4,0.2,2.2
673,1996-97,30.0,24.0,17.2,2.6,5.4,0.475,0.0,0.0,0.0,1.5,2.5,0.6,1.6,2.3,0.8,1.0,0.7,0.2,6.6
1059,1996-97,8.0,29.0,7.9,1.0,2.0,0.5,0.6,0.9,0.7140000000000001,0.5,0.6,0.8,0.1,0.5,0.6,0.6,0.0,0.0,3.1
275,1996-97,81.0,26.0,34.3,5.4,12.7,0.423,1.8,4.7,0.385,2.2,2.7,0.8029999999999999,0.5,2.4,2.2,2.1,0.5,0.2,14.8
947,1996-97,76.0,22.0,41.1,8.2,19.8,0.41600000000000004,2.0,6.0,0.341,5.0,7.2,0.7020000000000001,1.5,2.6,7.5,4.4,2.1,0.3,23.5
297,1996-97,66.0,27.0,36.3,7.2,13.4,0.534,0.0,0.1,0.111,5.5,8.6,0.642,2.9,7.1,1.6,3.4,0.8,2.9,19.8
175,1996-97,53.0,38.0,10.1,0.6,1.5,0.41600000000000004,0.0,0.0,0.0,0.4,0.6,0.742,1.2,1.9,0.2,0.6,0.2,0.3,1.6
1043,1996-97,17.0,23.0,6.6,0.6,1.9,0.313,0.0,0.1,0.0,0.5,0.7,0.667,0.2,1.1,0.4,0.6,0.2,0.3,1.6
692,1996-97,71.0,24.0,15.6,2.0,3.8,0.52,0.0,0.0,0.0,1.3,2.1,0.603,1.7,2.5,0.5,1.1,0.5,0.4,5.3
